"DATE","TIME_M","SYM_ROOT","PRICE"
"2020-01-02","09:43:32.561162","AAPL",297.2373
"2020-01-02","09:43:32.792386","AAPL",297.22
"2020-01-02","09:43:32.792487","AAPL",297.21
"2020-01-02","09:43:32.801288","AAPL",297.21
"2020-01-02","09:43:32.802330","AAPL",297.205
"2020-01-02","09:43:32.803472","AAPL",297.2
"2020-01-02","09:43:32.803476","AAPL",297.2
"2020-01-02","09:43:32.803602","AAPL",297.2
"2020-01-02","09:43:32.803823","AAPL",297.2
"2020-01-02","09:43:32.803865","AAPL",297.19
"2020-01-02","09:43:32.804089","AAPL",297.19
"2020-01-02","09:43:32.804434","AAPL",297.19
"2020-01-02","09:43:32.804463","AAPL",297.19
"2020-01-02","09:43:32.804550","AAPL",297.19
"2020-01-02","09:43:32.804578","AAPL",297.19
"2020-01-02","09:43:32.804736","AAPL",297.19
"2020-01-02","09:43:32.804904","AAPL",297.19
"2020-01-02","09:43:32.805087","AAPL",297.19
"2020-01-02","09:43:32.916116","AAPL",297.1999
"2020-01-02","09:43:33.068240","AAPL",297.2
"2020-01-02","09:43:33.140661","AAPL",297.21
"2020-01-02","09:43:33.211068","AAPL",297.21
"2020-01-02","09:43:33.211234","AAPL",297.21
"2020-01-02","09:43:33.256713","AAPL",297.2219
"2020-01-02","09:43:33.323596","AAPL",297.2
"2020-01-02","09:43:33.323719","AAPL",297.2
"2020-01-02","09:43:33.644883","AAPL",297.2
"2020-01-02","09:43:33.689982","AAPL",297.24
"2020-01-02","09:43:33.781039","AAPL",297.22
"2020-01-02","09:43:33.950084","AAPL",297.21
"2020-01-02","09:43:33.987305","AAPL",297.21
"2020-01-02","09:43:33.987739","AAPL",297.2107
"2020-01-02","09:43:33.991775","AAPL",297.2086
"2020-01-02","09:43:33.992366","AAPL",297.2002
"2020-01-02","09:43:34.151337","AAPL",297.215
"2020-01-02","09:43:34.163995","AAPL",297.216
"2020-01-02","09:43:34.277239","AAPL",297.21
"2020-01-02","09:43:34.364923","AAPL",297.215
"2020-01-02","09:43:34.368593","AAPL",297.2238
"2020-01-02","09:43:34.437149","AAPL",297.2039
"2020-01-02","09:43:34.934072","AAPL",297.21
"2020-01-02","09:43:35.073432","AAPL",297.213
"2020-01-02","09:43:35.143545","AAPL",297.22
"2020-01-02","09:43:35.160495","AAPL",297.23
"2020-01-02","09:43:35.160498","AAPL",297.23
"2020-01-02","09:43:35.160506","AAPL",297.24
"2020-01-02","09:43:35.160578","AAPL",297.25
"2020-01-02","09:43:35.160586","AAPL",297.23
"2020-01-02","09:43:35.160592","AAPL",297.23
"2020-01-02","09:43:35.160597","AAPL",297.24
"2020-01-02","09:43:35.161176","AAPL",297.24
"2020-01-02","09:43:35.161277","AAPL",297.24
"2020-01-02","09:43:35.161277","AAPL",297.25
